Date ;heure ;Iconuc-1 ;Iconuc-2 ;Tabarnuc-1 ;Tabarnuc-2 ;NucPlusUltra-1 ;NucPlusUltra-2 ;Gazby ;Pegaz-1 ;Pegaz-2 ;Samagaz ;Omaigaz-1 ;Omaigaz-2 ;Gastafiore ;Igaznodon-1 ;Igaznodon-2 ;Coron-1 ;Coron-2 ;Mockingjay ;Lantier ;Tacotac ;TicEtTac ;P_hydro ;Hydro_stock ;STEP pompage ;STEP turbinage ;STEP_stock ;Batterie injection ;Batterie soutirage ;Batterie Stock ;P_fatal ;load ;Net load 
2020-07-04 ; 00:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3066.0; 1.1907e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1597 ;  7763 ; 6166 
2020-07-04 ; 01:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2741.0; 1.1882420833333333e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1447 ;  7288 ; 5841 
2020-07-04 ; 02:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2452.0; 1.1861091666666665e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1361 ;  6913 ; 5552 
2020-07-04 ; 03:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2143.0; 1.1842652499999998e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1243 ;  6486 ; 5243 
2020-07-04 ; 04:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1924.0; 1.182730333333333e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1260 ;  6284 ; 5024 
2020-07-04 ; 05:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1957.0; 1.1814144166666663e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1224 ;  6281 ; 5057 
2020-07-04 ; 06:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2012.0; 1.1800654999999995e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1293 ;  6405 ; 5112 
2020-07-04 ; 07:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1973.0; 1.1786615833333328e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;1669 ;  6742 ; 5073 
2020-07-04 ; 08:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2111.0; 1.177296666666666e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;2098 ;  7309 ; 5211 
2020-07-04 ; 09:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2163.0; 1.1757937499999993e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;2551 ;  7814 ; 5263 
2020-07-04 ; 10:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1953.0; 1.1742388333333326e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;2968 ;  8021 ; 5053 
2020-07-04 ; 11:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1771.0; 1.1728939166666658e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;3358 ;  8229 ; 4871 
2020-07-04 ; 12:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1963.0; 1.171730999999999e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;3482 ;  8545 ; 5063 
2020-07-04 ; 13:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1315.0; 1.1703760833333323e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;3793 ;  8208 ; 4415 
2020-07-04 ; 14:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 902.0; 1.1696691666666656e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;3979 ;  7981 ; 4002 
2020-07-04 ; 15:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 726.0; 1.1693752499999988e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;3886 ;  7712 ; 3826 
2020-07-04 ; 16:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 758.0; 1.169257333333332e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;3680 ;  7538 ; 3858 
2020-07-04 ; 17:00:00;900.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 987.0; 1.1691074166666653e6 ;0.0 ; 0.0; 0.0 ;0.0 ; 0.0 ; 0.0 ;3443 ;  7530 ; 4087 
