Date; heure;Iconuc-1 ;Iconuc-2 ;Tabarnuc-1 ;Tabarnuc-2 ;NucPlusUltra-1 ;NucPlusUltra-2 ;Gazby ;Pegaz-1 ;Pegaz-2 ;Samagaz ;Omaigaz-1 ;Omaigaz-2 ;Gastafiore ;Igaznodon-1 ;Igaznodon-2 ;Coron-1 ;Coron-2 ;Mockingjay ;Lantier ;Tacotac ;TicEtTac ;P_hydro; Hydro_stock; STEP pompage ; STEP turbinage; STEP_stock ; Batterie injection ; Batterie soutirage ; Batterie Stock ; P_fatal ; load ; Net load 
2020-07-04 ; 00:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 210.35 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2155.65; 700000.0 ;0.0 ; -0.0; 0.0 ;0.0 ; -0.0 ; 0.0 ;1597 ;  7763 ; 6166 
2020-07-04 ; 01:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 601.0 ; 600.0 ; 0.0 ; 0.0 ; 0.0 ; 840.0; 697844.35 ;0.0 ; -0.0; 0.0 ;0.0 ; -0.0 ; 0.0 ;1447 ;  7288 ; 5841 
2020-07-04 ; 02:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 600.0 ; 0.0 ; 0.0 ; 0.0 ; 1152.0; 697004.35 ;0.0 ; -0.0; 0.0 ;0.0 ; -0.0 ; 0.0 ;1361 ;  6913 ; 5552 
2020-07-04 ; 03:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 600.0 ; 0.0 ; 0.0 ; 0.0 ; 843.0; 695852.3499999993 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;1243 ;  6486 ; 5243 
2020-07-04 ; 04:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 600.0 ; 0.0 ; 0.0 ; 0.0 ; 624.0; 695009.3499999993 ;0.0 ; 0.0; -0.0 ;0.0 ; -0.0 ; 0.0 ;1260 ;  6284 ; 5024 
2020-07-04 ; 05:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 210.0 ; 0.0 ; 210.0 ; 210.0 ; 0.0 ; 0.0 ; 627.0; 694385.3499999993 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;1224 ;  6281 ; 5057 
2020-07-04 ; 06:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 210.0 ; 0.0 ; 210.0 ; 210.0 ; 0.0 ; 0.0 ; 682.0; 693758.3499999993 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;1293 ;  6405 ; 5112 
2020-07-04 ; 07:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 210.0 ; 0.0 ; 210.0 ; 210.0 ; 0.0 ; 0.0 ; 643.0; 693076.3499999993 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;1669 ;  6742 ; 5073 
2020-07-04 ; 08:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 210.0 ; 0.0 ; 210.0 ; 210.0 ; 0.0 ; 0.0 ; 781.0; 692433.3499999993 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2098 ;  7309 ; 5211 
2020-07-04 ; 09:00:00;300.0 ; 300.0 ; 300.0 ; 300.0 ; 1300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 210.0 ; 0.0 ; 0.0 ; 210.0 ; 0.0 ; 0.0 ; 1043.0; 691652.3499999993 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2551 ;  7814 ; 5263 
